instance,algorithm,n,time_ms,cost,rel_error
berlin52.tsp,RAND,52,50,22615,199.854
berlin52.tsp,NN,52,0,8181,8.47255
berlin52.tsp,RNN,52,0,8181,8.47255
ftv70.atsp,RAND,71,52,7991,309.795
ftv70.atsp,NN,71,1,2287,17.2821
ftv70.atsp,RNN,71,3,2287,17.2821
kro124p.atsp,RAND,100,86,151694,318.697
kro124p.atsp,NN,100,3,43316,19.5584
kro124p.atsp,RNN,100,6,43316,19.5584
xqf131.tsp,RAND,131,97,3743,563.652
xqf131.tsp,NN,131,3,629,11.5248
xqf131.tsp,RNN,131,900000,661,17.1986
pma343.tsp,RAND,343,319,30825,2153.29
pma343.tsp,NN,343,76,1661,21.4181
